Numeración;Puesto Institucional ;Régimen laboral al que pertenece ;Número de partida presupuestaria;Grado jerárquico o escala al que pertenece el puesto;Remuneración mensual unificada;Remuneración unificada (anual);Décimo Tercera Remuneración;Décima Cuarta Remuneración;Horas suplementarias y extraordinarias;Encargos y subrogaciones;Total ingresos adicionales
122;Especialista de Secretaria General;1.Servicio Civil Publico (Losep);16078;Uep Nivel Profesional A3;1,676.00;20112;139.67;39.17;0;0;178.84
123;Secretaria Ejecutiva 1;1.Servicio Civil Publico (Losep);15606;Uep Nivel Profesional Apoyo Tecnico A4;901;10812;75.08;39.17;0;0;114.25
124;Profesor Titular Principal de Escalafon Previo Tiempo Completo;3.Otros Regimenes Especiales;11510;Personal Academico Principal;4,159.06;49908.72;346.59;39.17;0;0;385.76
125;Profesor Agregado 3 Tiempo Completo;3.Otros Regimenes Especiales;13090;Profesor Agregado;4,528.09;54337.08;377.34;39.17;0;0;416.51
126;Profesor Principal 1 Tiempo Completo;3.Otros Regimenes Especiales;11520;Personal Academico Principal;4,709.22;56510.64;392.44;39.17;0;0;431.61
127;Analista de Marketing 1;1.Servicio Civil Publico (Losep);15747;Uep Nivel Profesional A3;1,412.00;16944;117.67;39.17;0;0;156.84
128;Recaudador;1.Servicio Civil Publico (Losep);15898;Uep Nivel Administrativo A5;817;9804;68.08;39.17;0;0;107.25
129;Especialista de Talento Humano 3;1.Servicio Civil Publico (Losep);15914;Uep Nivel Profesional A3;1,676.00;20112;139.67;39.17;209.4;0;388.24
130;Profesor Agregado 1 Tiempo Completo;3.Otros Regimenes Especiales;11625;Personal Academico Agregado;3,193.90;38326.8;266.16;39.17;0;0;305.33
131;Analista de Servicios de Bienestar 1;1.Servicio Civil Publico (Losep);15690;Uep Nivel Profesional A3;1,212.00;14544;101;39.17;0;0;140.17
132;Guia de Museo;1.Servicio Civil Publico (Losep);15839;Uep Nivel Profesional A3;1,212.00;14544;101;39.17;0;0;140.17
133;Entomólogo;1.Servicio Civil Publico (Losep);15701;Uep Nivel Profesional A3;1,760.00;21120;146.67;39.17;0;0;185.84
134;Analista de Astronomia 2;1.Servicio Civil Publico (Losep);15587;Uep Nivel Profesional A3;1,412.00;16944;117.67;39.17;102.9;0;259.74
135;Profesor Agregado 2 Tiempo Completo;3.Otros Regimenes Especiales;12220;Profesor Agregado;4,346.97;52163.64;362.25;39.17;0;0;401.42
136;Profesor Agregado 1 Tiempo Completo;3.Otros Regimenes Especiales;10232;Profesor Agregado;3,744.70;44936.4;312.06;39.17;0;0;351.23
137;Diseñador Instruccional;1.Servicio Civil Publico (Losep);15828;Uep Nivel Profesional A3;1,676.00;20112;139.67;39.17;0;0;178.84
138;Miembro Profesor Principal de la Comision de Evaluacion Interna;3.Otros Regimenes Especiales;2;Autoridades Academicas Nivel 1;3,996.04;47952.48;333;39.17;0;0;372.17
139;Especialista de Laboratorios;1.Servicio Civil Publico (Losep);16054;Uep Nivel Profesional A3;1,676.00;20112;139.67;39.17;0;0;178.84
140;Asistente Administrativo;1.Servicio Civil Publico (Losep);15889;Uep Nivel Profesional Apoyo Tecnico A4;986;11832;82.17;39.17;0;0;121.34
141;Referencista;1.Servicio Civil Publico (Losep);15908;Uep Nivel Administrativo A5;733;8796;61.08;39.17;0;0;100.25
142;Secretaria;1.Servicio Civil Publico (Losep);15546;Uep Nivel Administrativo A5;817;9804;68.08;39.17;0;0;107.25
143;Especialista de Tesoreria 1;1.Servicio Civil Publico (Losep);15762;Uep Nivel Profesional A3;1,412.00;16944;117.67;39.17;0;0;156.84
