Numeración;Puesto Institucional ;Régimen laboral al que pertenece ;Número de partida presupuestaria;Grado jerárquico o escala al que pertenece el puesto;Remuneración mensual unificada;Remuneración unificada (anual);Décimo Tercera Remuneración;Décima Cuarta Remuneración;Horas suplementarias y extraordinarias;Encargos y subrogaciones;Total ingresos adicionales
100;COORDINADOR/A DE NOMINA Y REMUNERACIONES;1.SERVICIO CIVIL PUBLICO (LOSEP);19;UEP NIVEL DIRECTIVO A2;2,000.00;2,000.00;166.67;40.17;0.00;0.00;2,206.84
101;COORDINADOR/A DE PRESUPUESTO;1.SERVICIO CIVIL PUBLICO (LOSEP);16;UEP NIVEL DIRECTIVO A2;2,000.00;2,000.00;166.67;40.17;0.00;0.00;2,206.84
102;COORDINADOR/A DEL CENTRO DE ARTE, CULTURA E INTERCULTURALIDAD;1.SERVICIO CIVIL PUBLICO (LOSEP);23;UEP NIVEL DIRECTIVO A2;2,000.00;2,000.00;166.67;40.17;0.00;0.00;2,206.84
103;ASISTENTE DE OPERADOR DE EQUIPOS Y/O MAQUINARIA;2.CODIGO DEL TRABAJO;492;NIVEL 1;773.92;773.92;64.49;40.17;0.00;0.00;878.58
104;ASISTENTE DE OPERADOR DE EQUIPOS Y/O MAQUINARIA;2.CODIGO DEL TRABAJO;226;NIVEL 1;557.00;557.00;46.42;40.17;44.66;0.00;688.25
105;ASISTENTE DE OPERADOR DE EQUIPOS Y/O MAQUINARIA;2.CODIGO DEL TRABAJO;384;NIVEL 1;684.87;684.87;57.07;40.17;42.60;0.00;824.71
106;AUXILIAR DE ARCHIVO;2.CODIGO DEL TRABAJO;327;NIVEL 1;561.00;561.00;46.75;40.17;0.00;0.00;647.92
107;AUXILIAR DE ARCHIVO;2.CODIGO DEL TRABAJO;189;NIVEL 1;578.00;578.00;48.17;40.17;0.00;0.00;666.34
108;AUXILIAR DE ARCHIVO;2.CODIGO DEL TRABAJO;287;NIVEL 1;557.00;557.00;46.42;40.17;0.00;0.00;643.59
109;AUXILIAR DE ARCHIVO;2.CODIGO DEL TRABAJO;292;NIVEL 1;557.00;557.00;46.42;40.17;0.00;0.00;643.59
110;AUXILIAR DE ARCHIVO;2.CODIGO DEL TRABAJO;224;NIVEL 1;557.00;557.00;46.42;40.17;0.00;0.00;643.59
111;AUXILIAR DE ARCHIVO;2.CODIGO DEL TRABAJO;255;NIVEL 1;557.00;557.00;46.42;40.17;0.00;0.00;643.59
112;AUXILIAR DE ARCHIVO;2.CODIGO DEL TRABAJO;229;NIVEL 1;557.00;557.00;46.42;40.17;0.00;0.00;643.59
113;AUXILIAR DE ARCHIVO;2.CODIGO DEL TRABAJO;395;NIVEL 1;792.38;792.38;66.03;40.17;0.00;0.00;898.58
114;AUXILIAR DE ARCHIVO;2.CODIGO DEL TRABAJO;217;NIVEL 1;557.00;557.00;46.42;40.17;0.00;0.00;643.59
115;AUXILIAR DE BODEGA;2.CODIGO DEL TRABAJO;244;NIVEL 1;557.00;557.00;46.42;40.17;0.00;0.00;643.59
