Numeración;Puesto Institucional ;Régimen laboral al que pertenece ;Número de partida presupuestaria;Grado jerárquico o escala al que pertenece el puesto;Remuneración mensual unificada;Remuneración unificada (anual);Décimo Tercera Remuneración;Décima Cuarta Remuneración;Horas suplementarias y extraordinarias;Encargos y subrogaciones;Total ingresos adicionales
97;COORDINADOR/A DE BIENES Y BODEGAS;1.SERVICIO CIVIL PUBLICO (LOSEP);22;UEP NIVEL DIRECTIVO A2;2,000.00;4,000.00;333.34;80.33;0.00;0.00;4,413.67
98;COORDINADOR/A DE DESPACHO;1.SERVICIO CIVIL PUBLICO (LOSEP);15;UEP NIVEL DIRECTIVO A2;2,000.00;4,000.00;333.34;80.33;0.00;0.00;4,413.67
99;COORDINADOR/A DE GESTION TRIBUTARIA;1.SERVICIO CIVIL PUBLICO (LOSEP);20;UEP NIVEL DIRECTIVO A2;2,000.00;4,000.00;333.34;80.33;0.00;0.00;4,413.67
100;COORDINADOR/A DE NOMINA Y REMUNERACIONES;1.SERVICIO CIVIL PUBLICO (LOSEP);19;UEP NIVEL DIRECTIVO A2;2,000.00;4,000.00;333.34;80.33;0.00;0.00;4,413.67
101;COORDINADOR/A DE PRESUPUESTO;1.SERVICIO CIVIL PUBLICO (LOSEP);16;UEP NIVEL DIRECTIVO A2;2,000.00;4,000.00;333.34;80.33;0.00;0.00;4,413.67
102;COORDINADOR/A DEL CENTRO DE ARTE, CULTURA E INTERCULTURALIDAD;1.SERVICIO CIVIL PUBLICO (LOSEP);23;UEP NIVEL DIRECTIVO A2;2,000.00;4,000.00;333.34;80.33;0.00;0.00;4,413.67
300;PROFESOR AGREGADO;3.OTROS REGIMENES ESPECIALES;905;PERSONAL ACADEMICO AGREGADO;1,813.37;3,626.74;302.22;80.33;0.00;0.00;4,009.29
301;PROFESOR AGREGADO 1 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;1660;PERSONAL ACADEMICO AGREGADO;3,744.70;7,489.40;624.12;80.33;0.00;0.00;8,193.85
302;PROFESOR AGREGADO 1 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;95;PERSONAL ACADEMICO AGREGADO;2,882.60;5,765.20;480.44;80.33;0.00;0.00;6,325.97
303;PROFESOR AGREGADO 1 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;1665;PERSONAL ACADEMICO AGREGADO;3,400.00;6,800.00;566.66;80.33;0.00;0.00;7,446.99
304;PROFESOR AGREGADO 1 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;760;PERSONAL ACADEMICO AGREGADO;2,882.60;5,765.20;480.44;80.33;0.00;0.00;6,325.97
305;PROFESOR AGREGADO 1 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;1120;PERSONAL ACADEMICO AGREGADO;2,882.60;5,765.20;480.44;80.33;0.00;0.00;6,325.97
306;PROFESOR AGREGADO 1 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;275;PERSONAL ACADEMICO AGREGADO;2,882.60;5,765.20;480.44;80.33;0.00;0.00;6,325.97
307;PROFESOR AGREGADO 1 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;1675;PERSONAL ACADEMICO AGREGADO;3,744.70;7,489.40;624.12;80.33;0.00;0.00;8,193.85
308;PROFESOR AGREGADO 1 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;840;PERSONAL ACADEMICO AGREGADO;2,882.60;5,765.20;480.44;80.33;0.00;0.00;6,325.97
309;PROFESOR AGREGADO 1 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2117;PERSONAL ACADEMICO AGREGADO;2,882.60;5,765.20;480.44;80.33;0.00;0.00;6,325.97
310;PROFESOR AGREGADO 1 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;755;PERSONAL ACADEMICO AGREGADO;2,882.60;5,765.20;480.44;80.33;0.00;0.00;6,325.97
311;PROFESOR AGREGADO 1 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;440;PERSONAL ACADEMICO AGREGADO;2,882.60;5,765.20;480.44;80.33;0.00;0.00;6,325.97
312;PROFESOR AGREGADO 1 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;950;PERSONAL ACADEMICO AGREGADO;3,196.02;6,392.04;532.68;80.33;0.00;0.00;7,005.05
313;PROFESOR AGREGADO 1 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;480;PERSONAL ACADEMICO AGREGADO;2,882.60;5,765.20;480.44;80.33;0.00;0.00;6,325.97
314;PROFESOR AGREGADO 1 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;410;PERSONAL ACADEMICO AGREGADO;2,882.60;5,765.20;480.44;80.33;0.00;0.00;6,325.97
315;PROFESOR AGREGADO 1 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;175;PERSONAL ACADEMICO AGREGADO;2,882.60;5,765.20;480.44;80.33;0.00;0.00;6,325.97
316;PROFESOR AGREGADO 1 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;595;PERSONAL ACADEMICO AGREGADO;3,400.00;6,800.00;566.66;80.33;0.00;0.00;7,446.99
317;PROFESOR AGREGADO 1 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;65;PERSONAL ACADEMICO AGREGADO;2,882.60;5,765.20;480.44;80.33;0.00;0.00;6,325.97
318;PROFESOR AGREGADO 1 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;640;PERSONAL ACADEMICO AGREGADO;2,882.60;5,765.20;480.44;80.33;0.00;0.00;6,325.97
319;PROFESOR AGREGADO 1 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;15;PERSONAL ACADEMICO AGREGADO;2,882.60;5,765.20;480.44;80.33;0.00;0.00;6,325.97
320;PROFESOR AGREGADO 1 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;920;PERSONAL ACADEMICO AGREGADO;2,882.60;5,765.20;480.44;80.33;0.00;0.00;6,325.97
321;PROFESOR AGREGADO 1 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;765;PERSONAL ACADEMICO AGREGADO;3,400.00;6,800.00;566.66;80.33;0.00;0.00;7,446.99
322;PROFESOR AGREGADO 1 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;105;PERSONAL ACADEMICO AGREGADO;2,882.60;5,765.20;480.44;80.33;0.00;0.00;6,325.97
323;PROFESOR AGREGADO 1 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;90;PERSONAL ACADEMICO AGREGADO;2,882.60;5,765.20;480.44;80.33;0.00;0.00;6,325.97
324;PROFESOR AGREGADO 1 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;1655;PERSONAL ACADEMICO AGREGADO;2,882.60;5,765.20;480.44;80.33;0.00;0.00;6,325.97
