Numeración;Puesto Institucional;Régimen laboral al que pertenece;Número de partida presupuestaria;Grado jerárquico o escala al que pertenece el puesto;Remuneración mensual unificada;Remuneración unificada (anual);Décimo Tercera Remuneración;Décima Cuarta Remuneración;Horas suplementarias y extraordinarias;Encargos y subrogaciones;Total ingresos adicionales
1324;Nutricionista;1.Servicio Civil Publico (Losep);15537;Servidor Publico 6 De La Salud;1412;16944;117.67;40.17;0;0;157.84
1325;Tecnico/A Docente 1 Tiempo Completo;3.Otros Regimenes Especiales;8644;Personal De Apoyo (Universidades);986;11832;82.17;40.17;0;0;122.34
1326;Tecnico/A De Investigacion 1 Tiempo Completo;3.Otros Regimenes Especiales;8512;Personal De Apoyo (Universidades);986;11832;82.17;40.17;0;0;122.34
1327;Analista De Vinculacion 2;1.Servicio Civil Publico (Losep);4170;Uep Nivel Profesional A3;1412;16944;117.67;40.17;0;0;157.84
1328;Tecnico/A De Investigacion 1 Tiempo Completo;3.Otros Regimenes Especiales;8521;Personal De Apoyo (Universidades);986;11832;82.17;40.17;0;0;122.34
1329;Tecnico/A Docente 1 Tiempo Completo;3.Otros Regimenes Especiales;8767;Personal De Apoyo (Universidades);986;11832;82.17;40.17;0;0;122.34
1330;Tecnico/A Docente 1 Tiempo Completo;3.Otros Regimenes Especiales;8676;Personal De Apoyo (Universidades);986;11832;82.17;40.17;0;0;122.34
1331;Tecnico/A Docente 1 Tiempo Completo;3.Otros Regimenes Especiales;8799;Personal De Apoyo (Universidades);986;11832;82.17;40.17;0;0;122.34
1332;Asistente De Marketing;1.Servicio Civil Publico (Losep);15876;Uep Nivel Profesional Apoyo Tecnico A4;986;11832;82.17;40.17;0;0;122.34
1333;Profesor/A Ocasional Tiempo Parcial;3.Otros Regimenes Especiales;8506;Profesor Universitario;1148.71;13784.52;95.73;40.17;0;0;135.9
1334;Responsable De Secretaria General;1.Servicio Civil Publico (Losep);4104;Uep Nivel Profesional A3;1760;21120;146.67;40.17;0;0;186.84
1335;Auxiliar De Mantenimiento;2.Codigo Del Trabajo;37833;Nivel 1;561;6732;46.75;40.17;0;0;86.92
1336;Responsable De Seguridad Y Salud En El Trabajo;1.Servicio Civil Publico (Losep);15697;Uep Nivel Profesional A3;1760;21120;146.67;40.17;0;0;186.84
1337;Analista De Capacitacion 2;1.Servicio Civil Publico (Losep);15973;Uep Nivel Profesional A3;1412;16944;117.67;40.17;0;0;157.84
