Cuenta;Categoría;Descripción;Asignado;Modificado;Codificado;Monto certificado;Comprometido;Devengado;Pagado;Saldo por comprometer;Saldo por devengar;Saldo por pagar;Porcentaje de ejecución;;;;;;;;;;;;
840000;EGRESOS DE CAPITAL;Maquinarias y Equipos;357461,58;4488242,52;4845704,1;274688,59;1216390,23;419459,78;419459,78;3629313,87;4426244,32;0;8,66;;;;;;;;;;;;
510000;EGRESOS EN PERSONAL;Decimo Cuarto Sueldo;767089,95;3790,19;770880,14;0;716436,46;716436,46;694819,61;54443,68;54443,68;21616,85;92,94;;;;;;;;;;;;
510000;EGRESOS EN PERSONAL;Aporte Patronal;3697929,17;-59768,93;3638160,24;0;2751934,56;2751934,56;2751934,56;886225,68;886225,68;0;75,64;;;;;;;;;;;;
530000;BIENES Y SERVICIOS DE CONSUMO;Alimentos y Bebidas;0;60;60;0;0;0;0;60;60;0;0;;;;;;;;;;;;
530000;BIENES Y SERVICIOS DE CONSUMO;Materiales de Impresion Fotografia Reproduccion y Publicaciones;55119,08;-15122,3;39996,78;15912,78;20436,23;7436,23;7436,23;19560,55;32560,55;0;18,59;;;;;;;;;;;;
530000;BIENES Y SERVICIOS DE CONSUMO;Herramientas y Equipos Menores;4846,54;-1645,87;3200,67;2196,17;548,6;244,6;244,6;2652,07;2956,07;0;7,64;;;;;;;;;;;;
530000;BIENES Y SERVICIOS DE CONSUMO;Equipos Sistemas y Paquetes Informaticos;49495,2;-37116,63;12378,57;7702,13;650;0;0;11728,57;12378,57;0;0;;;;;;;;;;;;
530000;BIENES Y SERVICIOS DE CONSUMO;Difusion Informacion y Publicidad;105400;-54519,98;50880,02;14536,82;35343,2;35343,18;35343,18;15536,82;15536,84;0;69,46;;;;;;;;;;;;
570000;OTROS EGRESOS CORRIENTES;Comisiones Bancarias;1000;11133,3;12133,3;0;7163,91;7163,91;7163,91;4969,39;4969,39;0;59,04;;;;;;;;;;;;
730000;BIENES Y SERVICIOS PARA INVERSION;Pasajes al Exterior;49103,04;14202,84;63305,88;0;36389,09;36140,68;36140,68;26916,79;27165,2;0;57,09;;;;;;;;;;;;
730000;BIENES Y SERVICIOS PARA INVERSION;Edificios Locales Residencias y Cableado Estructurado (Mantenimiento Reparaciones e Instalacion);2970;2226;5196;4116;0;0;0;5196;5196;0;0;;;;;;;;;;;;
730000;BIENES Y SERVICIOS PARA INVERSION;Maquinarias y Equipos (Instalacion Mantenimiento y Reparacion);12152,86;8215,08;20367,94;0;17730,79;10030,79;10030,79;2637,15;10337,15;0;49,25;;;;;;;;;;;;
730000;BIENES Y SERVICIOS PARA INVERSION;Honorarios por Contratos Civiles de Servicios;88116,7;-88116,7;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
730000;BIENES Y SERVICIOS PARA INVERSION;Materiales de Oficina;4750;-3850;900;450;0;0;0;900;900;0;0;;;;;;;;;;;;
730000;BIENES Y SERVICIOS PARA INVERSION;Repuestos y Accesorios;5378,99;306,38;5685,37;866,38;4818,99;4818,99;4818,99;866,38;866,38;0;84,76;;;;;;;;;;;;
730000;BIENES Y SERVICIOS PARA INVERSION;Dispositivos Medicos de Uso General;0;704,98;704,98;0;0;0;0;704,98;704,98;0;0;;;;;;;;;;;;
730000;BIENES Y SERVICIOS PARA INVERSION;Insumos Materiales Suministros y Bienes para Investigacion;333278,94;-276847,07;56431,87;32491,75;20070,1;18187,72;18187,72;36361,77;38244,15;0;32,23;;;;;;;;;;;;
730000;BIENES Y SERVICIOS PARA INVERSION;Mobiliarios;4568,46;-3102,17;1466,29;153,79;1312,5;1312,5;1312,5;153,79;153,79;0;89,51;;;;;;;;;;;;
750000;OBRAS PUBLICAS;Construcciones y Edificaciones;313449,06;947725,03;1261174,09;376911,99;847426,81;218615,13;218615,13;413747,28;1042558,96;0;17,33;;;;;;;;;;;;
840000;EGRESOS DE CAPITAL;Semovientes;3475;-3475;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
530000;BIENES Y SERVICIOS DE CONSUMO;Mobiliario (Arrendamiento);3740;7924;11664;0;10576;10576;10576;1088;1088;0;90,67;;;;;;;;;;;;
530000;BIENES Y SERVICIOS DE CONSUMO;Servicio de Auditoria;16000;-1100;14900;0;14900;14900;14900;0;0;0;100;;;;;;;;;;;;
530000;BIENES Y SERVICIOS DE CONSUMO;Materiales de Oficina;25939,08;-5038,39;20900,69;13050,5;7826,69;7826,69;7826,69;13074;13074;0;37,45;;;;;;;;;;;;
