Numeracion;Puesto Institucional;Regimen laboral al que pertenece;Numero de partida presupuestaria;Grado jerarquico o escala al que pertenece el puesto;Remuneracin mensual unificada;Remuneracion unificada (anual);Decimo Tercera Remuneracion;Decima Cuarta Remuneracion;Horas suplementarias y extraordinarias;Encargos y subrogaciones;Total ingresos adicionales
1668;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;0;18.064,00;216.768,00;18.064,00;482;0;0;18.546,00
1669;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;0;18.064,00;216.768,00;18.064,00;482;0;0;18.546,00
1670;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;0;108.577,00;1.302.924,00;108.577,00;482;0;0;109.059,00
1671;TECNICO (A) DOCENTE 1 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;0;98.067,00;1.176.804,00;98.067,00;482;0;0;98.549,00
1672;PROFESOR/A OCASIONAL MEDIO TIEMPO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;0;9.032,00;108.384,00;9.032,00;482;0;0;9.514,00
1673;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;0;108.577,00;1.302.924,00;108.577,00;482;0;0;109.059,00
1674;TECNICO (A) DE LABORATORIO 1 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;0;98.067,00;1.176.804,00;98.067,00;482;0;0;98.549,00
1675;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;0;18.064,00;216.768,00;18.064,00;482;0;0;18.546,00
1676;PROFESOR/A OCASIONAL MEDIO TIEMPO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;0;49.034,00;588.408,00;49.034,00;482;0;0;49.516,00
1677;TECNICO (A) DOCENTE 1 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;0;98.067,00;1.176.804,00;98.067,00;482;0;0;98.549,00
1678;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;0;18.064,00;216.768,00;18.064,00;482;0;0;18.546,00
1679;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;0;18.064,00;216.768,00;18.064,00;482;0;0;18.546,00
1680;TECNICO (A) DE LABORATORIO 1 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;0;98.067,00;1.176.804,00;98.067,00;482;0;0;98.549,00
1681;TECNICO (A) DOCENTE 5 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;0;147.361,00;1.768.332,00;147.361,00;482;0;0;147.843,00
1682;TECNICO (A) DE LABORATORIO 1 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;0;98.067,00;1.176.804,00;98.067,00;482;0;0;98.549,00
1683;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;0;2.000,00;24.000,00;2.000,00;482;0;0;2.482,00
1684;TECNICO (A) DOCENTE 1 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;0;98.067,00;1.176.804,00;98.067,00;482;0;0;98.549,00
1685;TECNICO (A) DOCENTE 1 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;0;98.067,00;1.176.804,00;98.067,00;482;0;0;98.549,00
1686;TECNICO (A) DOCENTE 1 MEDIO TIEMPO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;0;49.034,00;588.408,00;49.034,00;482;0;0;49.516,00
1687;TECNICO (A) DOCENTE 1 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;0;98.067,00;1.176.804,00;98.067,00;482;0;0;98.549,00
1688;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;0;221.435,00;2.657.220,00;221.435,00;482;0;0;221.917,00
1689;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;0;18.064,00;216.768,00;18.064,00;482;0;0;18.546,00
1690;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;0;18.064,00;216.768,00;18.064,00;482;0;0;18.546,00
