Numeración;Puesto Institucional;Regimen laboral al que pertenece;Número de partida presupuestaria;Grado jerárquico o escala al que pertenece el puesto;Remuneración mensual unificada;Remuneración unificada (anual);Décimo Tercera Remuneración;Décima Cuarta Remuneración;Horas suplementarias y extraordinarias;Encargos y subrogaciones;Total ingresos adicionales
1088;COORDINADOR/A DE CARRERA;3.OTROS REGIMENES ESPECIALES;10;AUTORIDADES ACADEMICAS NIVEL 1;4472,85;17.891,40;3.354,66;344,97;0;0;3.699,63
1089;ANALISTA EN GESTION AMBIENTAL DE INFRAESTRUCTURA 1;1.SERVICIO CIVIL PUBLICO (LOSEP);2668;UEP NIVEL PROFESIONAL A3;1300;5.200,00;974,97;344,97;0;0;1.319,94
1090;PROFESOR PRINCIPAL 2 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;1190;PERSONAL ACADEMICO PRINCIPAL;4700;18.800,00;3.525,03;344,97;0;0;3.870,00
1091;TECNICO DE INVESTIGACION 1;3.OTROS REGIMENES ESPECIALES;23313;PERSONAL DE APOYO (UNIVERSIDADES);1086;4.344,00;814,5;344,97;0;0;1.159,47
1092;PROFESOR/A OCASIONAL MEDIO TIEMPO;3.OTROS REGIMENES ESPECIALES;22558;PROFESOR UNIVERSITARIO;1057,5;4.230,00;793,17;344,97;0;0;1.138,14
1093;TRABAJADOR AGRICOLA;2.CODIGO DEL TRABAJO;506;NIVEL 1;561;2.244,00;420,75;344,97;0;0;765,72
1094;PROFESOR AUXILIAR 2 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;1960;PERSONAL ACADEMICO AUXILIAR;2344,96;9.379,84;1.758,69;344,97;0;0;2.103,66
1095;TECNICO DOCENTE 5;3.OTROS REGIMENES ESPECIALES;2591;PERSONAL DE APOYO (UNIVERSIDADES);1908;7.632,00;1.431,00;344,97;0;0;1.775,97
1096;COORDINADOR/A DE CARRERA;3.OTROS REGIMENES ESPECIALES;2119;AUTORIDADES ACADEMICAS NIVEL 1;2882,6;11.530,40;2.161,98;344,97;0;0;2.506,95
1097;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;23596;PROFESOR UNIVERSITARIO;2115;8.460,00;1.586,25;344,97;0;0;1.931,22
1098;PROFESOR AUXILIAR 1 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;1175;PERSONAL ACADEMICO AUXILIAR;2115;8.460,00;1.586,25;344,97;0;0;1.931,22
1099;CHOFER;2.CODIGO DEL TRABAJO;191;NIVEL 3;596;2.384,00;447,03;344,97;40,92;0;832,92
1100;PROFESOR PRINCIPAL 1 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;1210;PERSONAL ACADEMICO PRINCIPAL;4661,12;18.644,48;3.495,87;344,97;0;0;3.840,84
1101;DIRECTOR/A DE RELACIONES INTERNACIONALES;1.SERVICIO CIVIL PUBLICO (LOSEP);2;UEP NIVEL DIRECTIVO A2;2734;10.936,00;2.050,47;344,97;0;0;2.395,44
1102;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;23706;PROFESOR UNIVERSITARIO;2115;8.460,00;1.586,25;344,97;0;0;1.931,22
1103;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;23657;PROFESOR UNIVERSITARIO;2115;8.460,00;1.586,25;344,97;0;0;1.931,22
