Unidad;Objetivos;Indicador;Meta cuantificable;Enlace al sistema de gestión de planificación para verificación de los indicadores y metas cuantificables por procesos o niveles
DIRECCIÓN DE TALENTO HUMANO;FORTALECER LA GESTION ADMINISTRATIVA INSTITUCIONAL DE LA ESPOCH.;EJECUCION DE LA NOMINA INSTITUCIONAL;100%;https://liveespochedu-my.sharepoint.com/:b:/g/personal/planificacion_espoch_edu_ec/IQDwqLIryH88SqEfYWkx0I8aAXyl1r26lQezRboo82LmA4Q?e=4xtbqK
;;CAPACITACIONES;100%;
;;EVALUACION DE DESEMPENO DEL PERSONAL ADMINISTRATIVO Y DE SERVICIOS;100%;
DIRECCIÓN ADMINISTRATIVA;GESTIONAR LOS RECURSOS PARA LA EJECUCIÓN ÓPTIMA DE LOS PROCESOS ADMINISTRATIVOS;BIENES ASEGURADOS;100%;https://liveespochedu-my.sharepoint.com/:b:/g/personal/planificacion_espoch_edu_ec/IQDwqLIryH88SqEfYWkx0I8aAXyl1r26lQezRboo82LmA4Q?e=4xtbqK
;;MOVILIDAD NACIONAL E INTERNACIONAL ENTRANTE Y SALIENTE EJECUTADA;100%;
DIRECCIÓN DE INFRAESTRUCTURA Y MANTENIMIENTO;PREVENIR Y CORREGIR EL DETERIORO DE LA INFRAESTRUCTURA FÍSICA INSTITUCIONAL A TRAVÉS DE MANTENIMIENTOS DIRIGIDOS A LA CONSERVACIÓN Y ACTUALIZACIÓN DE LA INFRAESTRUCTURA FÍSICA, MEDIANTE EL MANTENIMIENTO PREVENTIVO, CORRECTIVO, ADECUACIONES Y REMODELACIONES;# DE OBRAS DE REMODELACIÓN O ADECUACION EJECUTADAS/ # DE OBRAS DE REMODELACIÓN O ADECUACION PLANIFICADAS;100%;https://liveespochedu-my.sharepoint.com/:b:/g/personal/planificacion_espoch_edu_ec/IQDwqLIryH88SqEfYWkx0I8aAXyl1r26lQezRboo82LmA4Q?e=4xtbqK
DIRECCIÓN DE BIBLIOTECAS Y RECURSOS DEL APRENDIZAJE Y LA INVESTIGACIÓN;OPTIMIZAR EL ACCESO, DISPONIBILIDAD Y GESTIÓN DE LOS RECURSOS BIBLIOGRÁFICOS Y DE APRENDIZAJE EN LA ESPOCH, FORTALECIENDO LA ESTRUCTURA Y EFECTIVIDAD DE LOS PROCESOS EN LA DIRECCIÓN DE BIBLIOTECAS Y RECURSOS DEL APRENDIZAJE Y LA INVESTIGACIÓN, CON EL FIN DE MEJORAR LA CALIDAD DE APOYO A LA DOCENCIA, INVESTIGACIÓN Y APRENDIZAJE;FORMACION DE USUARIOS;100%;https://liveespochedu-my.sharepoint.com/:b:/g/personal/planificacion_espoch_edu_ec/IQDwqLIryH88SqEfYWkx0I8aAXyl1r26lQezRboo82LmA4Q?e=4xtbqK
;;ANÁLISIS TÉCNICO Y PROCESAMIENTO DE EBOOKS;100%;
;;EXPURGO Y DESCARTE DE MATERIAL BIBLIOGRAFICO;100%;
;;ACTUALIZACIÓN DE REGISTROS BIBLIOGRAFICOS;100%;
;;CONVENIOS INTERINSTITUCIONALES;100%;
CENTRO DE DEPORTES;FORTALECER LA GESTIÓN ADMINISTRATIVA INSTITUCIONAL DE LA ESPOCH.;MANTENIMIENTO DE LOS ESCENARIOS DEPORTIVOS;2;https://liveespochedu-my.sharepoint.com/:b:/g/personal/planificacion_espoch_edu_ec/IQDwqLIryH88SqEfYWkx0I8aAXyl1r26lQezRboo82LmA4Q?e=4xtbqK
